relativePath,originalExt,originalBytes,jpegBytes,deltaBytes,deltaPercent,originalSize,jpegSize,quality
TROG/original/102-car-truck-into-tunnel.png,png,543388,42573,-500815,-92.17,530.65 KB,41.58 KB,85
TROG/original/102-truck-into-tunnel.png,png,589708,45166,-544542,-92.34,575.89 KB,44.11 KB,85
TROG/original/103-homework-desk-puzzle.png,png,1311956,106880,-1205076,-91.85,1.25 MB,104.38 KB,85
TROG/original/103-homework-desk.png,png,269084,44495,-224589,-83.46,262.78 KB,43.45 KB,85
TROG/original/103-puzzle-desk.png,png,279438,45975,-233463,-83.55,272.89 KB,44.90 KB,85
TROG/original/103-puzzle-floor.png,png,1324979,111765,-1213214,-91.56,1.26 MB,109.15 KB,85
TROG/original/11-blue.png,png,139017,18926,-120091,-86.39,135.76 KB,18.48 KB,85
TROG/original/11-pink.png,png,146666,18128,-128538,-87.64,143.23 KB,17.70 KB,85
TROG/original/11-red.png,png,126533,26872,-99661,-78.76,123.57 KB,26.24 KB,85
TROG/original/11-yellow.png,png,116221,19024,-97197,-83.63,113.50 KB,18.58 KB,85
TROG/original/12-black-horse.png,png,310599,44701,-265898,-85.61,303.32 KB,43.65 KB,85
TROG/original/12-brown-horse.png,png,406934,48509,-358425,-88.08,397.40 KB,47.37 KB,85
TROG/original/12-grey-dog.png,png,270171,28251,-241920,-89.54,263.84 KB,27.59 KB,85
TROG/original/12-yellow-dog.png,png,268243,30072,-238171,-88.79,261.96 KB,29.37 KB,85
TROG/original/13-boy-running.png,png,259349,38069,-221280,-85.32,253.27 KB,37.18 KB,85
TROG/original/13-cat-sitting.png,png,418082,45207,-372875,-89.19,408.28 KB,44.15 KB,85
TROG/original/13-cow-walking.png,png,581530,68007,-513523,-88.31,567.90 KB,66.41 KB,85
TROG/original/13-person-sitting.png,png,695397,71030,-624367,-89.79,679.10 KB,69.37 KB,85
TROG/original/14-big-cup.png,png,291826,41317,-250509,-85.84,284.99 KB,40.35 KB,85
TROG/original/14-blue-box.png,png,129151,8802,-120349,-93.18,126.12 KB,8.60 KB,85
TROG/original/14-pink-cup.png,png,127294,15596,-111698,-87.75,124.31 KB,15.23 KB,85
TROG/original/14-purple-box.png,png,350315,26775,-323540,-92.36,342.10 KB,26.15 KB,85
TROG/original/15-dog-eating.png,png,246319,34083,-212236,-86.16,240.55 KB,33.28 KB,85
TROG/original/15-dog-sitting.png,png,254659,31790,-222869,-87.52,248.69 KB,31.04 KB,85
TROG/original/15-girl-sitting.png,png,216211,33825,-182386,-84.36,211.14 KB,33.03 KB,85
TROG/original/15-girl-skipping.png,png,291923,46441,-245482,-84.09,285.08 KB,45.35 KB,85
TROG/original/16-green-comb.png,png,127811,19675,-108136,-84.61,124.82 KB,19.21 KB,85
TROG/original/16-purple-ball.png,png,308110,31143,-276967,-89.89,300.89 KB,30.41 KB,85
TROG/original/16-red-ball.png,png,296292,29442,-266850,-90.06,289.35 KB,28.75 KB,85
TROG/original/16-red-comb.png,png,137737,28373,-109364,-79.40,134.51 KB,27.71 KB,85
TROG/original/17-boy-running.png,png,253573,36532,-217041,-85.59,247.63 KB,35.68 KB,85
TROG/original/17-boy-sitting.png,png,381222,48762,-332460,-87.21,372.29 KB,47.62 KB,85
TROG/original/17-cat-napping.png,png,245461,33818,-211643,-86.22,239.71 KB,33.03 KB,85
TROG/original/17-horse-standing.png,png,572759,65996,-506763,-88.48,559.33 KB,64.45 KB,85
TROG/original/18-baby-sitting.png,png,243777,28421,-215356,-88.34,238.06 KB,27.75 KB,85
TROG/original/18-dog-drinking.png,png,494849,50004,-444845,-89.90,483.25 KB,48.83 KB,85
TROG/original/18-dog-not-drinking.png,png,441245,38936,-402309,-91.18,430.90 KB,38.02 KB,85
TROG/original/18-girl-standing.png,png,491514,59567,-431947,-87.88,479.99 KB,58.17 KB,85
TROG/original/19-cat-sitting.png,png,304184,33363,-270821,-89.03,297.05 KB,32.58 KB,85
TROG/original/19-girl-jumping.png,png,407742,44877,-362865,-88.99,398.19 KB,43.83 KB,85
TROG/original/19-girl-not-jumping.png,png,358412,41708,-316704,-88.36,350.01 KB,40.73 KB,85
TROG/original/19-horse-standing.png,png,562067,60153,-501914,-89.30,548.89 KB,58.74 KB,85
TROG/original/2-bird.png,png,174751,22993,-151758,-86.84,170.66 KB,22.45 KB,85
TROG/original/2-chair.png,png,426897,41900,-384997,-90.18,416.89 KB,40.92 KB,85
TROG/original/2-hat.png,png,203075,28497,-174578,-85.97,198.32 KB,27.83 KB,85
TROG/original/2-woman.png,png,934428,94833,-839595,-89.85,912.53 KB,92.61 KB,85
TROG/original/20-dog-sitting.png,png,577947,67313,-510634,-88.35,564.40 KB,65.74 KB,85
TROG/original/20-dog-standing.png,png,477681,60750,-416931,-87.28,466.49 KB,59.33 KB,85
TROG/original/20-girl-standing.png,png,559986,66821,-493165,-88.07,546.86 KB,65.25 KB,85
TROG/original/20-man-standing.png,png,487500,54873,-432627,-88.74,476.07 KB,53.59 KB,85
TROG/original/21-boy-hold-box.png,png,349129,46161,-302968,-86.78,340.95 KB,45.08 KB,85
TROG/original/21-boy-jump-box.png,png,315425,43500,-271925,-86.21,308.03 KB,42.48 KB,85
TROG/original/21-boy-run.png,png,558396,73336,-485060,-86.87,545.31 KB,71.62 KB,85
TROG/original/21-horse-jump-box.png,png,330317,52602,-277715,-84.08,322.58 KB,51.37 KB,85
TROG/original/22-cat-on-table.png,png,393906,45600,-348306,-88.42,384.67 KB,44.53 KB,85
TROG/original/22-girl-at-table.png,png,430910,55070,-375840,-87.22,420.81 KB,53.78 KB,85
TROG/original/22-girl-on-table.png,png,420781,49950,-370831,-88.13,410.92 KB,48.78 KB,85
TROG/original/22-girl-squatting.png,png,398296,50429,-347867,-87.34,388.96 KB,49.25 KB,85
TROG/original/23-girl-kick-apple.png,png,327638,50554,-277084,-84.57,319.96 KB,49.37 KB,85
TROG/original/23-horse-eat-apple.png,png,818962,107571,-711391,-86.86,799.77 KB,105.05 KB,85
TROG/original/23-man-eat-apple.png,png,307305,35954,-271351,-88.30,300.10 KB,35.11 KB,85
TROG/original/23-woman-eat-dinner.png,png,482530,76083,-406447,-84.23,471.22 KB,74.30 KB,85
TROG/original/24-dog-carry-bag.png,png,315801,47003,-268798,-85.12,308.40 KB,45.90 KB,85
TROG/original/24-woman-carry-bag.png,png,364703,46083,-318620,-87.36,356.16 KB,45.00 KB,85
TROG/original/24-woman-carry-chair.png,png,447454,57162,-390292,-87.23,436.97 KB,55.82 KB,85
TROG/original/24-woman-drop-bag.png,png,536978,58869,-478109,-89.04,524.39 KB,57.49 KB,85
TROG/original/25-2-girls-on-table.png,png,503100,72698,-430402,-85.55,491.31 KB,70.99 KB,85
TROG/original/25-2-people-draw-on-table.png,png,605069,90459,-514610,-85.05,590.89 KB,88.34 KB,85
TROG/original/25-2-people-on-carpet.png,png,440059,64532,-375527,-85.34,429.75 KB,63.02 KB,85
TROG/original/25-boy-on-table.png,png,437273,59054,-378219,-86.49,427.02 KB,57.67 KB,85
TROG/original/26-2-girls-face-cow.png,png,613168,88130,-525038,-85.63,598.80 KB,86.06 KB,85
TROG/original/26-girl-faces-cow.png,png,519232,66744,-452488,-87.15,507.06 KB,65.18 KB,85
TROG/original/26-two-boys-ride-cow.png,png,404407,53255,-351152,-86.83,394.93 KB,52.01 KB,85
TROG/original/26-two-people-look-at-butterfly.png,png,364511,55116,-309395,-84.88,355.97 KB,53.82 KB,85
TROG/original/27-boys-jump-grass.png,png,587735,82423,-505312,-85.98,573.96 KB,80.49 KB,85
TROG/original/27-boys-jump-wall.png,png,683546,76871,-606675,-88.75,667.53 KB,75.07 KB,85
TROG/original/27-girl-jump-wall.png,png,594332,61802,-532530,-89.60,580.40 KB,60.35 KB,85
TROG/original/27-girls-behind-wall.png,png,868202,70965,-797237,-91.83,847.85 KB,69.30 KB,85
TROG/original/27-people-jump-wall.png,png,761480,82364,-679116,-89.18,743.63 KB,80.43 KB,85
TROG/original/28-boy-rides-elephant.png,png,470527,64007,-406520,-86.40,459.50 KB,62.51 KB,85
TROG/original/28-elephant-carries-them.png,png,466127,70993,-395134,-84.77,455.20 KB,69.33 KB,85
TROG/original/28-run-from-elephant.png,png,758100,113802,-644298,-84.99,740.33 KB,111.13 KB,85
TROG/original/28-woman-carries-babies.png,png,391107,63038,-328069,-83.88,381.94 KB,61.56 KB,85
TROG/original/29-boy-rides-horse.png,png,543639,75491,-468148,-86.11,530.90 KB,73.72 KB,85
TROG/original/29-girl-pushes-horse.png,png,508371,76982,-431389,-84.86,496.46 KB,75.18 KB,85
TROG/original/29-girl-pushes-man.png,png,348089,57924,-290165,-83.36,339.93 KB,56.57 KB,85
TROG/original/29-horse-pushes-girl.png,png,425471,69464,-356007,-83.67,415.50 KB,67.84 KB,85
TROG/original/3-comb.png,png,89317,16177,-73140,-81.89,87.22 KB,15.80 KB,85
TROG/original/3-man.png,png,375957,47311,-328646,-87.42,367.15 KB,46.20 KB,85
TROG/original/3-table.png,png,301586,44470,-257116,-85.25,294.52 KB,43.43 KB,85
TROG/original/3-wall.png,png,348003,29337,-318666,-91.57,339.85 KB,28.65 KB,85
TROG/original/30-boy-chases-ball.png,png,203023,35712,-167311,-82.41,198.26 KB,34.88 KB,85
TROG/original/30-boy-chases-sheep.png,png,654553,80586,-573967,-87.69,639.21 KB,78.70 KB,85
TROG/original/30-dog-chases-sheep.png,png,725756,94686,-631070,-86.95,708.75 KB,92.47 KB,85
TROG/original/30-sheep-chases-man.png,png,647800,90610,-557190,-86.01,632.62 KB,88.49 KB,85
TROG/original/31-dog-chases-boy.png,png,377817,53943,-323874,-85.72,368.96 KB,52.68 KB,85
TROG/original/31-girl-pets-dog.png,png,362929,63776,-299153,-82.43,354.42 KB,62.28 KB,85
TROG/original/31-man-chases-cart.png,png,546214,99527,-446687,-81.78,533.41 KB,97.19 KB,85
TROG/original/31-man-chases-dog.png,png,476003,78834,-397169,-83.44,464.85 KB,76.99 KB,85
TROG/original/32-cow-pushes-woman.png,png,678919,97800,-581119,-85.59,663.01 KB,95.51 KB,85
TROG/original/32-girl-feeds-cow.png,png,737986,107077,-630909,-85.49,720.69 KB,104.57 KB,85
TROG/original/32-girl-pushes-cow.png,png,750069,102216,-647853,-86.37,732.49 KB,99.82 KB,85
TROG/original/32-girl-pushes-woman.png,png,484166,77534,-406632,-83.99,472.82 KB,75.72 KB,85
TROG/original/33-girl-behind-chair.png,png,310648,43482,-267166,-86.00,303.37 KB,42.46 KB,85
TROG/original/33-man-in-chair.png,png,647290,64532,-582758,-90.03,632.12 KB,63.02 KB,85
TROG/original/33-woman-in-chair.png,png,573051,70189,-502862,-87.75,559.62 KB,68.54 KB,85
TROG/original/33-woman-on-grass.png,png,497265,68075,-429190,-86.31,485.61 KB,66.48 KB,85
TROG/original/34-guy-on-horse.png,png,406481,74631,-331850,-81.64,396.95 KB,72.88 KB,85
TROG/original/34-woman-holds-baby.png,png,320359,43419,-276940,-86.45,312.85 KB,42.40 KB,85
TROG/original/34-woman-holds-girl.png,png,429920,64635,-365285,-84.97,419.84 KB,63.12 KB,85
TROG/original/34-woman-holds-hands.png,png,738014,105540,-632474,-85.70,720.72 KB,103.07 KB,85
TROG/original/35-boy-in-tree.png,png,429922,60142,-369780,-86.01,419.85 KB,58.73 KB,85
TROG/original/35-boy-on-bench.png,png,244936,38506,-206430,-84.28,239.20 KB,37.60 KB,85
TROG/original/35-boy-touching-tree.png,png,495606,69715,-425891,-85.93,483.99 KB,68.08 KB,85
TROG/original/35-girl-in-tree.png,png,596251,78676,-517575,-86.80,582.28 KB,76.83 KB,85
TROG/original/36-boy-behind-horse.png,png,559231,81218,-478013,-85.48,546.12 KB,79.31 KB,85
TROG/original/36-girl-before-horse.png,png,639810,75314,-564496,-88.23,624.81 KB,73.55 KB,85
TROG/original/36-girl-rides-horse.png,png,542254,82309,-459945,-84.82,529.54 KB,80.38 KB,85
TROG/original/36-woman-on-bench.png,png,403965,64488,-339477,-84.04,394.50 KB,62.98 KB,85
TROG/original/37-cat-look-ball.png,png,270380,33503,-236877,-87.61,264.04 KB,32.72 KB,85
TROG/original/37-cats-look-ball.png,png,410360,46154,-364206,-88.75,400.74 KB,45.07 KB,85
TROG/original/37-cats-look-butterfly.png,png,373163,45708,-327455,-87.75,364.42 KB,44.64 KB,85
TROG/original/37-kids-play-ball.png,png,486194,63642,-422552,-86.91,474.80 KB,62.15 KB,85
TROG/original/38-dog-on-chairs.png,png,354582,49684,-304898,-85.99,346.27 KB,48.52 KB,85
TROG/original/38-guy-lay-on-chairs.png,png,389072,54586,-334486,-85.97,379.95 KB,53.31 KB,85
TROG/original/38-guy-on-chair.png,png,302872,42407,-260465,-86.00,295.77 KB,41.41 KB,85
TROG/original/38-guy-on-chairs.png,png,422257,60010,-362247,-85.79,412.36 KB,58.60 KB,85
TROG/original/39-boy-picks-apples.png,png,673334,79249,-594085,-88.23,657.55 KB,77.39 KB,85
TROG/original/39-boys-eat-apples.png,png,511992,65301,-446691,-87.25,499.99 KB,63.77 KB,85
TROG/original/39-boys-pick-apples.png,png,1493053,162521,-1330532,-89.11,1.42 MB,158.71 KB,85
TROG/original/39-they-eat-apples.png,png,537606,69814,-467792,-87.01,525.01 KB,68.18 KB,85
TROG/original/39-they-pick-flowers.png,png,692375,107489,-584886,-84.48,676.15 KB,104.97 KB,85
TROG/original/4-apple.png,png,476402,44700,-431702,-90.62,465.24 KB,43.65 KB,85
TROG/original/4-elephant.png,png,654919,58455,-596464,-91.07,639.57 KB,57.08 KB,85
TROG/original/4-fence.png,png,612637,69016,-543621,-88.73,598.28 KB,67.40 KB,85
TROG/original/4-grass.png,png,188744,22090,-166654,-88.30,184.32 KB,21.57 KB,85
TROG/original/40-girl-bounces-balls.png,png,382862,52368,-330494,-86.32,373.89 KB,51.14 KB,85
TROG/original/40-girl-drops-cup.png,png,347969,44224,-303745,-87.29,339.81 KB,43.19 KB,85
TROG/original/40-girl-drops-cups.png,png,444985,56203,-388782,-87.37,434.56 KB,54.89 KB,85
TROG/original/40-girl-hold-cup.png,png,377297,46373,-330924,-87.71,368.45 KB,45.29 KB,85
TROG/original/41-flower-pencil.png,png,86236,11854,-74382,-86.25,84.21 KB,11.58 KB,85
TROG/original/41-flower-short-pencil.png,png,54260,8159,-46101,-84.96,52.99 KB,7.97 KB,85
TROG/original/41-fork-long-pencil.png,png,61590,7430,-54160,-87.94,60.15 KB,7.26 KB,85
TROG/original/41-fork-short-pencil.png,png,49265,5496,-43769,-88.84,48.11 KB,5.37 KB,85
TROG/original/41-fork-spoon.png,png,62311,6243,-56068,-89.98,60.85 KB,6.10 KB,85
TROG/original/41-knife-long-pencil.png,png,100984,10839,-90145,-89.27,98.62 KB,10.58 KB,85
TROG/original/41-knife-short-pencil.png,png,86298,8932,-77366,-89.65,84.28 KB,8.72 KB,85
TROG/original/41-knife-spoon.png,png,102628,9723,-92905,-90.53,100.22 KB,9.50 KB,85
TROG/original/42-apple-cup-same.png,png,263016,24957,-238059,-90.51,256.85 KB,24.37 KB,85
TROG/original/42-box-bigger-ball.png,png,112152,8486,-103666,-92.43,109.52 KB,8.29 KB,85
TROG/original/42-box-bigger-cup.png,png,501407,41407,-460000,-91.74,489.66 KB,40.44 KB,85
TROG/original/42-box-cup-same.png,png,219924,21433,-198491,-90.25,214.77 KB,20.93 KB,85
TROG/original/43-bird-box-same.png,png,144141,14590,-129551,-89.88,140.76 KB,14.25 KB,85
TROG/original/43-bird-shoe-same.png,png,312010,41321,-270689,-86.76,304.70 KB,40.35 KB,85
TROG/original/43-shoe-bigger-bird.png,png,105433,18612,-86821,-82.35,102.96 KB,18.18 KB,85
TROG/original/43-shoe-bigger-cup.png,png,100686,17118,-83568,-83.00,98.33 KB,16.72 KB,85
TROG/original/44-feed-horse-apple.png,png,816409,89135,-727274,-89.08,797.27 KB,87.05 KB,85
TROG/original/44-horse-large-wall.png,png,1029684,113991,-915693,-88.93,1005.55 KB,111.32 KB,85
TROG/original/44-horse-small-wall.png,png,767113,76038,-691075,-90.09,749.13 KB,74.26 KB,85
TROG/original/44-tree-wall.png,png,1343289,135103,-1208186,-89.94,1.28 MB,131.94 KB,85
TROG/original/45-girl-chase-horse.png,png,483593,69935,-413658,-85.54,472.26 KB,68.30 KB,85
TROG/original/45-girl-ride-horse.png,png,347114,52040,-295074,-85.01,338.98 KB,50.82 KB,85
TROG/original/45-horse-chase-dog.png,png,447043,61482,-385561,-86.25,436.57 KB,60.04 KB,85
TROG/original/45-horse-chase-girl.png,png,510649,72046,-438603,-85.89,498.68 KB,70.36 KB,85
TROG/original/46-boy-push-elephant.png,png,1000786,94690,-906096,-90.54,977.33 KB,92.47 KB,85
TROG/original/46-boy-push-truck.png,png,415317,61466,-353851,-85.20,405.58 KB,60.03 KB,85
TROG/original/46-elephant-push-boy.png,png,763917,74853,-689064,-90.20,746.01 KB,73.10 KB,85
TROG/original/46-elephant-push-woman.png,png,800479,79255,-721224,-90.10,781.72 KB,77.40 KB,85
TROG/original/46-man-feed-elephant.png,png,891845,80424,-811421,-90.98,870.94 KB,78.54 KB,85
TROG/original/47-boy-chases-horse.png,png,624350,77741,-546609,-87.55,609.72 KB,75.92 KB,85
TROG/original/47-dog-chases-horse.png,png,517978,62536,-455442,-87.93,505.84 KB,61.07 KB,85
TROG/original/47-girl-rides-horse.png,png,471388,65082,-406306,-86.19,460.34 KB,63.56 KB,85
TROG/original/47-horse-chases-boy.png,png,633075,88756,-544319,-85.98,618.24 KB,86.68 KB,85
TROG/original/48-cow-pushes-man.png,png,598011,74311,-523700,-87.57,584.00 KB,72.57 KB,85
TROG/original/48-man-pushes-cow.png,png,509361,65442,-443919,-87.15,497.42 KB,63.91 KB,85
TROG/original/48-man-pushes-pram.png,png,506077,58417,-447660,-88.46,494.22 KB,57.05 KB,85
TROG/original/48-sheep-pushes-cow.png,png,503734,54683,-449051,-89.14,491.93 KB,53.40 KB,85
TROG/original/49-box-in-cup.png,png,486815,61082,-425733,-87.45,475.41 KB,59.65 KB,85
TROG/original/49-cup-beside-box.png,png,620024,73090,-546934,-88.21,605.49 KB,71.38 KB,85
TROG/original/49-cup-in-box.png,png,522215,64573,-457642,-87.63,509.98 KB,63.06 KB,85
TROG/original/49-cup-on-box.png,png,390200,44192,-346008,-88.67,381.05 KB,43.16 KB,85
TROG/original/5-dropping.png,png,400876,50947,-349929,-87.29,391.48 KB,49.75 KB,85
TROG/original/5-eating.png,png,328860,48724,-280136,-85.18,321.15 KB,47.58 KB,85
TROG/original/5-kicking.png,png,389957,62624,-327333,-83.94,380.82 KB,61.16 KB,85
TROG/original/5-riding.png,png,564700,80961,-483739,-85.66,551.46 KB,79.06 KB,85
TROG/original/50-pencil-beside-box.png,png,373409,26962,-346447,-92.78,364.66 KB,26.33 KB,85
TROG/original/50-pencil-in-box.png,png,404475,29220,-375255,-92.78,395.00 KB,28.54 KB,85
TROG/original/50-pencil-on-box.png,png,409717,27931,-381786,-93.18,400.11 KB,27.28 KB,85
TROG/original/50-pencil-under-box.png,png,282103,17410,-264693,-93.83,275.49 KB,17.00 KB,85
TROG/original/51-circle-beside-star.png,png,255059,26527,-228532,-89.60,249.08 KB,25.91 KB,85
TROG/original/51-circle-in-star.png,png,163829,22478,-141351,-86.28,159.99 KB,21.95 KB,85
TROG/original/51-star-below-circle.png,png,211252,20743,-190509,-90.18,206.30 KB,20.26 KB,85
TROG/original/51-star-in-circle.png,png,167589,19908,-147681,-88.12,163.66 KB,19.44 KB,85
TROG/original/52-boot-on-knife.png,png,247665,30411,-217254,-87.72,241.86 KB,29.70 KB,85
TROG/original/52-fork-beside-boot.png,png,275549,28340,-247209,-89.72,269.09 KB,27.68 KB,85
TROG/original/52-fork-in-boot.png,png,264020,27260,-236760,-89.68,257.83 KB,26.62 KB,85
TROG/original/52-fork-on-boot.png,png,301183,31875,-269308,-89.42,294.12 KB,31.13 KB,85
TROG/original/52-fork-under-boot.png,png,239316,23956,-215360,-89.99,233.71 KB,23.39 KB,85
TROG/original/52-knife-beside-boot.png,png,305802,36945,-268857,-87.92,298.63 KB,36.08 KB,85
TROG/original/52-knife-in-boot.png,png,287993,35692,-252301,-87.61,281.24 KB,34.86 KB,85
TROG/original/52-knife-on-boot.png,png,334936,44088,-290848,-86.84,327.09 KB,43.05 KB,85
TROG/original/53-boy-chases-horse.png,png,581100,73899,-507201,-87.28,567.48 KB,72.17 KB,85
TROG/original/53-horse-chases-boy.png,png,653255,81874,-571381,-87.47,637.94 KB,79.96 KB,85
TROG/original/53-horse-chases-tall-boy.png,png,724434,85034,-639400,-88.26,707.46 KB,83.04 KB,85
TROG/original/53-tall-boy-chases-horse.png,png,683494,85897,-597597,-87.43,667.47 KB,83.88 KB,85
TROG/original/54-blue-pencil-on-boot.png,png,185974,17298,-168676,-90.70,181.62 KB,16.89 KB,85
TROG/original/54-boot-on-blue-pencil.png,png,295372,36622,-258750,-87.60,288.45 KB,35.76 KB,85
TROG/original/54-boot-on-yellow-pencil.png,png,321672,41458,-280214,-87.11,314.13 KB,40.49 KB,85
TROG/original/54-yellow-pencil-on-boot.png,png,324845,41819,-283026,-87.13,317.23 KB,40.84 KB,85
TROG/original/55-brown-cat-chase-white-cow.png,png,373030,41531,-331499,-88.87,364.29 KB,40.56 KB,85
TROG/original/55-brown-cow-chase-white-cat.png,png,507282,63204,-444078,-87.54,495.39 KB,61.72 KB,85
TROG/original/55-white-cat-chase-brown-cow.png,png,477973,52626,-425347,-88.99,466.77 KB,51.39 KB,85
TROG/original/55-white-cow-chase-brown-cat.png,png,476347,53642,-422705,-88.74,465.18 KB,52.38 KB,85
TROG/original/56-green-star-below-circle.png,png,155377,16381,-138996,-89.46,151.74 KB,16.00 KB,85
TROG/original/56-star-beside-circle.png,png,251591,25211,-226380,-89.98,245.69 KB,24.62 KB,85
TROG/original/56-yellow-circle-in-star.png,png,221352,20015,-201337,-90.96,216.16 KB,19.55 KB,85
TROG/original/56-yellow-star-in-circle.png,png,159096,17530,-141566,-88.98,155.37 KB,17.12 KB,85
TROG/original/57-green-chair-green-box.png,png,343622,50148,-293474,-85.41,335.57 KB,48.97 KB,85
TROG/original/57-green-chair-red-box.png,png,382427,55081,-327346,-85.60,373.46 KB,53.79 KB,85
TROG/original/57-red-chair-green-box.png,png,342547,51470,-291077,-84.97,334.52 KB,50.26 KB,85
TROG/original/57-red-chair-red-box.png,png,364822,53676,-311146,-85.29,356.27 KB,52.42 KB,85
TROG/original/58-big-black-cat.png,png,280218,39577,-240641,-85.88,273.65 KB,38.65 KB,85
TROG/original/58-big-white-cat.png,png,353200,35231,-317969,-90.03,344.92 KB,34.41 KB,85
TROG/original/58-little-black-cat.png,png,179313,24849,-154464,-86.14,175.11 KB,24.27 KB,85
TROG/original/58-little-white-cat.png,png,150494,20694,-129800,-86.25,146.97 KB,20.21 KB,85
TROG/original/59-boy-jumps-horse-stands.png,png,532813,60347,-472466,-88.67,520.33 KB,58.93 KB,85
TROG/original/59-horse-and-boy-jump.png,png,656692,84371,-572321,-87.15,641.30 KB,82.39 KB,85
TROG/original/59-horse-and-boy-stand.png,png,628943,70831,-558112,-88.74,614.20 KB,69.17 KB,85
TROG/original/59-horse-jumps-boy-stands.png,png,646474,63069,-583405,-90.24,631.32 KB,61.59 KB,85
TROG/original/6-climbing.png,png,938821,87352,-851469,-90.70,916.82 KB,85.30 KB,85
TROG/original/6-picking.png,png,632264,93374,-538890,-85.23,617.45 KB,91.19 KB,85
TROG/original/6-running.png,png,309216,42793,-266423,-86.16,301.97 KB,41.79 KB,85
TROG/original/6-standing.png,png,419178,47113,-372065,-88.76,409.35 KB,46.01 KB,85
TROG/original/60-sitting-boy.png,png,401658,42247,-359411,-89.48,392.24 KB,41.26 KB,85
TROG/original/60-sitting-person-banana.png,png,370230,47820,-322410,-87.08,361.55 KB,46.70 KB,85
TROG/original/60-standing-man-banana.png,png,244723,39672,-205051,-83.79,238.99 KB,38.74 KB,85
TROG/original/60-standing-woman.png,png,296178,40987,-255191,-86.16,289.24 KB,40.03 KB,85
TROG/original/61-flower-above-pencil.png,png,134388,16309,-118079,-87.86,131.24 KB,15.93 KB,85
TROG/original/61-flower-behind-pencil.png,png,141276,16652,-124624,-88.21,137.96 KB,16.26 KB,85
TROG/original/61-pencil-above-flower.png,png,135183,16196,-118987,-88.02,132.01 KB,15.82 KB,85
TROG/original/61-pencil-beside-flower.png,png,140901,16770,-124131,-88.10,137.60 KB,16.38 KB,85
TROG/original/62-green-comb-below-spoon.png,png,113780,18942,-94838,-83.35,111.11 KB,18.50 KB,85
TROG/original/62-red-comb-beside-spoon.png,png,118681,20590,-98091,-82.65,115.90 KB,20.11 KB,85
TROG/original/62-yellow-comb-above-spoon.png,png,109577,15517,-94060,-85.84,107.01 KB,15.15 KB,85
TROG/original/62-yellow-comb-beside-spoon.png,png,117092,15990,-101102,-86.34,114.35 KB,15.62 KB,85
TROG/original/63-purple-star-beside-circle.png,png,219549,23031,-196518,-89.51,214.40 KB,22.49 KB,85
TROG/original/63-small-star-beside-circle.png,png,279404,27109,-252295,-90.30,272.86 KB,26.47 KB,85
TROG/original/63-star-above-circle.png,png,164144,19417,-144727,-88.17,160.30 KB,18.96 KB,85
TROG/original/63-star-below-circle.png,png,166136,19302,-146834,-88.38,162.24 KB,18.85 KB,85
TROG/original/64-square-above-star.png,png,131419,13583,-117836,-89.66,128.34 KB,13.26 KB,85
TROG/original/64-square-below-star.png,png,153988,16241,-137747,-89.45,150.38 KB,15.86 KB,85
TROG/original/64-square-beside-star.png,png,141021,14629,-126392,-89.63,137.72 KB,14.29 KB,85
